Merged Counts by Postal Code:
    postCode  totalBusinesses  specificBusinesses
0      33100             3663               157.0
1      33200             1705                39.0
2      33720             1129                75.0
3      33540              995                22.0
4      33210              911                41.0
5      33710              801                39.0
6      33900              708                28.0
7      33800              678                16.0
8      33500              582                31.0
9      33400              556                15.0
10     33580              543                22.0
11     33560              528                25.0
12     33230              527                13.0
13     33820              494                23.0
14     33300              453                 5.0
15     33101              450                20.0
16     33270              404                24.0
17     33530              349                14.0
18     33870              330                29.0
19     33250              315                12.0
20     33180              289                11.0
21     33840              259                 2.0
22     33730              235                 5.0
23     33610              230                 3.0
24     33700              207                 7.0
25     33420              180                 4.0
26     33310              179                 2.0
27     33410              169                10.0
28     33340              166                 6.0
29     33240              161                 3.0
30     33680              155                 1.0
31     33330              152                 1.0
32     33520              138                 6.0
33     33850               96                 1.0
34     33211               41                 1.0
35     33901               39                 1.0
36     33201               27                 4.0
37     33401               22                 1.0
38     33721               18                 1.0
39     33311               18                 0.0
40     33731               17                 0.0
41     33821               16                 0.0
42     33841               11                 0.0
43     33711                8                 1.0
44     33701                8                 0.0
45     33581                8                 0.0
46     33561                7                 0.0
47     33411                7                 1.0
48     33541                6                 0.0
49     33501                4                 0.0
50     33521                4                 0.0
51     33231                4                 0.0
52     33531                3                 0.0
53     33251                3                 0.0
54     33341                3                 0.0
55     33014                3                 0.0
56     33013                2                 0.0
57     33331                1                 0.0
58     33271                1                 0.0

Correlation between total businesses and specific businesses: 0.9494632981684971
P-value for the correlation: 2.2866235281995814e-30
