Merged Counts by Postal Code:
    postCode  totalBusinesses  specificBusinesses
0      33100             3663               928.0
1      33200             1705               670.0
2      33720             1129               299.0
3      33540              995               486.0
4      33210              911               222.0
5      33710              801               249.0
6      33900              708                52.0
7      33800              678               326.0
8      33500              582               165.0
9      33400              556                53.0
10     33580              543                52.0
11     33560              528                50.0
12     33230              527                61.0
13     33820              494                60.0
14     33300              453               223.0
15     33101              450                53.0
16     33270              404                46.0
17     33530              349               141.0
18     33870              330                51.0
19     33250              315                64.0
20     33180              289                41.0
21     33840              259                38.0
22     33730              235                28.0
23     33610              230                46.0
24     33700              207                17.0
25     33420              180                28.0
26     33310              179                16.0
27     33410              169                 6.0
28     33340              166                14.0
29     33240              161                37.0
30     33680              155                 9.0
31     33330              152                 7.0
32     33520              138                39.0
33     33850               96                 2.0
34     33211               41                 2.0
35     33901               39                 0.0
36     33201               27                 1.0
37     33401               22                 0.0
38     33721               18                 0.0
39     33311               18                 0.0
40     33731               17                 2.0
41     33821               16                 0.0
42     33841               11                 0.0
43     33711                8                 0.0
44     33701                8                 0.0
45     33581                8                 0.0
46     33561                7                 0.0
47     33411                7                 0.0
48     33541                6                 0.0
49     33501                4                 0.0
50     33521                4                 0.0
51     33231                4                 0.0
52     33531                3                 0.0
53     33251                3                 0.0
54     33341                3                 0.0
55     33014                3                 0.0
56     33013                2                 0.0
57     33331                1                 0.0
58     33271                1                 1.0

Correlation between total businesses and specific businesses: 0.9356749110103383
P-value for the correlation: 1.8344139421817307e-27
