businessId,registrationDate,mainBusinessLineType,mainBusinessLineDescription,mainBusinessLineRegDate,companyFormType,companyFormDescription
0100990-4,1978-03-15,68209,Letting of other real estate,2007-12-31,16,Limited company
0104676-4,1978-03-15,46160,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",2007-12-31,16,Limited company
0106272-1,1978-03-15,68202,Operation of dwellings and residential real estate,2013-09-06,2,Housing corporation
0106575-4,1978-03-15,64990,"Other financial service activities, except insurance and pension funding n.e.c.",2007-12-31,16,Limited company
0108477-9,1978-03-15,90020,Support activities to performing arts,2015-04-27,16,Limited company
0108699-3,1978-03-15,52212,Road transport terminals,2007-12-31,16,Limited company
0108863-0,1978-03-15,20590,Manufacture of other chemical products n.e.c.,2007-12-31,16,Limited company
0110071-6,1978-03-15,00000,Industry unknown,2007-12-31,16,Limited company
0110188-2,1978-03-15,68209,Letting of other real estate,2007-12-31,16,Limited company
0111370-1,1978-03-15,35111,Production of electricity with hydropower and wind power,2024-03-08,16,Limited company
0112814-5,1978-03-15,18130,Pre-press and pre-media services,2007-12-31,16,Limited company
0113217-9,1978-03-15,68209,Letting of other real estate,2007-12-31,16,Limited company
0113428-9,1978-03-15,41200,Construction of residential and non-residential buildings,2007-12-31,16,Limited company
0114330-2,1978-03-15,52212,Road transport terminals,2007-12-31,16,Limited company
0118452-6,1978-03-15,68209,Letting of other real estate,2007-12-31,16,Limited company
0118912-4,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0119294-8,1978-03-15,68209,Letting of other real estate,2007-12-31,16,Limited company
0119814-3,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0124255-4,1978-03-15,49410,Freight transport by road,2007-12-31,16,Limited company
0126326-7,1978-03-15,85510,Sports and recreation education,2020-08-10,13,Limited partnership
0128235-3,1978-03-15,14110,Manufacture of leather clothes,2007-12-31,16,Limited company
0128351-6,1978-03-15,74201,Photographic studio and other photographic activities,2016-12-01,16,Limited company
0133025-5,1978-03-15,22220,Manufacture of plastic packing goods,2007-12-31,16,Limited company
0133034-3,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,10,Mutual real estate limited company
0133092-5,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0133107-1,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0137981-7,1978-03-15,68202,Operation of dwellings and residential real estate,2011-09-23,16,Limited company
0138262-9,1978-03-15,32999,Other manufacture of products n.e.c.,2014-12-09,16,Limited company
0141616-3,1978-03-15,58142,Publishing of journals and periodicals,2007-12-31,16,Limited company
0143139-8,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0143450-5,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0146740-3,1978-03-15,58110,Book publishing,2007-12-31,16,Limited company
0146765-7,1978-03-15,50300,Inland passenger water transport,2007-12-31,16,Limited company
0146940-9,1988-03-30,94999,Activities of other membership organisations n.e.c.,2012-01-01,6,Non-profit association
0147132-2,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147218-1,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147930-8,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147931-6,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147934-0,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147954-3,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147962-3,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147966-6,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147967-4,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147968-2,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147971-1,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147978-9,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147981-8,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147984-2,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147986-9,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0147992-2,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0148005-0,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0148006-9,1978-03-15,68202,Operation of dwellings and residential real estate,2007-12-31,2,Housing corporation
0148331-5,1978-03-15,77110,Renting and leasing of cars and light motor vehicles,2007-12-31,16,Limited company
0149041-9,1978-03-15,23110,Manufacture of flat glass,2007-12-31,16,Limited company
