businessId,name,mainBusinessLineType,mainBusinessLineDescription,mainBusinessLineRegDate,postCode
0100990-4,Saivokämppä Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33240
0104676-4,Leros Oy,46160,"Tekstiilien, vaatteiden, jalkineiden ja nahkavalmisteiden agentuuritoiminta",2007-12-31,33100
0106272-1,Asunto Oy Tampereen Actif,68202,Asuntojen ja asuinkiinteistöjen hallinta,2013-09-06,33100
0106575-4,Tamrock Oy,64990,Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta),2007-12-31,33311
0108477-9,OPTIMUS MANAGEMENT & BOOKING (FINLAND) OY,90020,Esittäviä taiteita palveleva toiminta,2015-04-27,33100
0108699-3,Helsingin Kaukokiito Oy - Helsingfors Fjärr-Express Ab,52212,Tieliikenteen terminaalitoiminta,2007-12-31,33330
0108863-0,Solenis Finland Oy,20590,Muualla luokittelematon kemiallisten tuotteiden valmistus,2007-12-31,33330
0110071-6,Klaukkalan Kiinteistö Oy,00000,Toimiala tuntematon,2007-12-31,33800
0110188-2,Konsiisi Auto Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33200
0111370-1,Solaris Group Oy,35111,Sähkön tuotanto vesi- ja tuulivoimalla,2024-03-08,33100
0112814-5,Pokkari Oy,18130,Painamista ja julkaisemista edeltävät palvelut,2007-12-31,33560
0113217-9,Kiinteistö Oy Tampereen Sorinkatu 4,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33500
0113428-9,Rinnakkaisrakenne Oy,41200,Asuin- ja muiden rakennusten rakentaminen,2007-12-31,33100
0114330-2,Suomen Kaukokiito Oy,52212,Tieliikenteen terminaalitoiminta,2007-12-31,33330
0118452-6,Kiinteistö Oy Jokikatu 2,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33821
0118912-4,Asunto Oy Kiilamäki,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
0119294-8,Sini-Kulma Oy,68209,Muiden kiinteistöjen vuokraus ja hallinta,2007-12-31,33200
0119814-3,Asunto Oy Armas Lindgrenintie 19,68202,Asuntojen ja asuinkiinteistöjen hallinta,2007-12-31,33100
